year,make,model,stock_number,is_new,vin,exterior_color,interior_color,engine_cylinders,doors,transmission,invoice_amount,selling_price,trim,epa_city,epa_highway,fuel_type,drive_train,transmission_description,msrp,miles,vehicle_description,certified,epa_unit,shorten_vdp_url
2012,Acura,TL,CA001946,FALSE,19UUA8F20CA001946,Celestial Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Base,NULL,NULL,Gasoline,FWD,3.5L V6 280hp 254ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2015,Chrysler,200,FN514991,FALSE,1C3CCCBG3FN514991,Octane Red Pearl,NULL,NULL,NULL,9-Speed Shiftable Automatic,NULL,NULL,S,NULL,NULL,Gasoline,FWD,3.6L V6 295hp 262ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 1500,LN414675,TRUE,1C6SRFJT7LN414675,Patriot Blue,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2014,Toyota,Corolla,EC001962,FALSE,2T1BURHE8EC001962,Octane Red Pearl,NULL,NULL,NULL,CVT,NULL,NULL,LE Plus,NULL,NULL,Gasoline,FWD,1.8L I4 132hp 128ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 2500,LG257579,TRUE,3C6UR5DL4LG257579,Lunar Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Lone Star,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 370hp 850ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,CR-V,LL030512,TRUE,5J6RW2H51LL030512,Modern Steel,NULL,NULL,NULL,CVT,NULL,NULL,EX,NULL,NULL,Gasoline,AWD,1.5L Turbo I4 190hp 179ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Ford,F-150,HKE20909,FALSE,1FTEW1CP0HKE20909,Celestial Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Lariat,NULL,NULL,Gasoline,4X2,EcoBoost 2.7L Twin Turbo V6 325hp 375ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Ford,Expedition,HEA28968,FALSE,1FMJU1JT8HEA28968,Vice White,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,King Ranch,NULL,NULL,Gasoline,4X4,EcoBoost 3.5L Twin Turbo V6 365hp 420ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Civic,LH552781,TRUE,2HGFC2F63LH552781,Lunar Silver,NULL,NULL,NULL,CVT,NULL,NULL,LX,NULL,NULL,Gasoline,FWD,2.0L I4 158hp 138ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2012,Honda,Fit,CC006697,FALSE,JHMGE8H37CC006697,Blue Crush Metallic,NULL,NULL,NULL,5-Speed Automatic,NULL,NULL,Base,NULL,NULL,Gasoline,FWD,1.5L I4 117hp 106ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
